Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,,,,,,,,,,,,,,,,,,
3/22/2012,Japanese White Eyes,Taoyuan Airport,"Taoyuan City, Taiwan ",Vietnam,,"Taoyuan City, Taiwan ",,67,,Passenger Clothing/Items,,,The Taiwanese passenger was wearing specially made trousers. One arrest for violating Transmissible Animal Disease Prevention and Control Act. ,http://www.whatsonsanya.com/news-20713.html,,,,,,,,,,,,,,,,,,,,
4/7/2012,Finches,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,,,35,,Luggage,,,,https://assets.documentcloud.org/documents/2192261/operation-g-bird.pdf,,,,,,,,,,,,,,,,,,,,
5/??/2012,White cockatoos,Dubai Airport,"Dubai, UAE",Russia,,"Dubai, UAE",,1,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
5/??/2012,African Grey Parrot,Dubai Airport,"Dubai, UAE",Bahrain,,"Dubai, UAE",,1,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
6/??/2012,Finches,JFK Airport,"New York, USA",Guyana,,"New York, USA",,9,Easy Jet,Passenger Clothing/Items,,,"One arrest. Finches were intended for singing competition. Finches were in cardboard toilet paper rolls, covered with netting and packaging tape. Suspect had history of trafficking.",http://www.nydailynews.com/new-york/clip-bird-brain-jfk-9-finches-sleeve-article-1.1102965,,,,,,,,,,,,,,,,,,,,
6/3/2012,Songbirds,Los Angeles Airport,"Los Angeles, USA","Taipei, Taiwan",,"Los Angeles, USA",,1,China Airlines,Unknown,Bird got loose in passenger cabin,,The songbird got loose on the plane; no suspect apprehended; flight CI6,http://www.crash-aerien.news/forum/chasse-a-l-oiseau-a-bord-d-un-avion-de-china-airlines-t22264.html,http://www.flyrelax.com/images/CI6-songbird.jpg,,,,,,,,,,,,,,,,,,,
7/7/2012,Birds,Taoyuan Airport,"Taoyuan City, Taiwan ","Guangzhou, China",,"Taoyuan City, Taiwan ",,38,,Luggage,,,Dozens of the birds tested positive at the time for H5N1 bird flu virus.,http://www.medicaldaily.com/taiwan-finds-3rd-case-deadly-h5n1-virus-birds-smuggled-china-241383,,,,,,,,,,,,,,,,,,,,
7/??/2012,African Grey Parrots,Dubai Airport,"Dubai, UAE",Mali,,"Dubai, UAE",,4,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
7/??/2012,Yellow-Collared Lovebirds,Dubai Airport,"Dubai, UAE",Czech Republic,,"Dubai, UAE",,2,,Unknown,,,Yellow-Collared Lovebird (CITES II),https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
7/??/2012,Java Sparrows,Dubai Airport,"Dubai, UAE",Italy,,"Dubai, UAE",,41,,Unknown,,,Java Sparrow (CITES II),,,,,,,,,,,,,,,,,,,,,
